id,s_fs_lev,level_description,s_fs_name_v
11981,4.0,certificate iv,Cert 4 property services
11982,6.0,diploma,Diploma of nursing
11983,6.0,diploma,Diploma of nursing
11984,5.0,vce or vcal,VCAL Senior
11985,3.0,certificate iii,Emergency telecommunications
11986,6.0,diploma,Same course explained previously.
11987,3.0,certificate iii,Heavy vehicle
11988,4.0,certificate iv,Community Service cert iv
11989,4.0,certificate iv,Cert IV Building and Construction
11990,9.0,higher than a degree,Masters in Adult and Vocational Education
11991,2.0,certificate ii,Certificate II General Education For Adults
11992,6.0,diploma,Diploma of nursing
11993,6.0,diploma,Construction and project management
11994,4.0,certificate iv,Certificate 4 in photography
11995,8.0,bachelor,Doctor of Medicine
11996,3.0,certificate iii,Heavy commercial vehicle technology
11997,4.0,certificate iv,Certificate IV disability
11998,6.0,diploma,Diploma of youth work
11999,6.0,diploma,Diploma of Laboratory Technology (Pathology Testing)
12000,5.0,vce or vcal,Vcal choices and cert III in beauty service
12001,4.0,certificate iv,Plumbing licences
12002,6.0,diploma,Diploma of Building and Construction
12003,6.0,diploma,Diploma of Early Learning Education & Care
12004,7.0,advanced diploma,Advanced diploma of agribusiness management and diploma of agronomy
12005,6.0,diploma,Diploma of paramedical science
12006,3.0,certificate iii,cert 3 in carpentry with a different organisation
12007,9.0,higher than a degree,Doctor of medicine
12008,2.0,certificate ii,Cert II building construction
12009,6.0,diploma,Diploma of community service
12010,2.0,certificate ii,Certificate 2 Employment
12011,8.0,bachelor,Bachelor of Accounting
12012,3.0,certificate iii,Certificate 3 in Early Childhood Education
12013,4.0,certificate iv,Certificate IV night school
12014,4.0,certificate iv,Youth work frankston chisholm
12015,8.0,bachelor,Theology
12016,4.0,certificate iv,Certificate 4 in Education Support
12017,4.0,certificate iv,Certificate IV in computer systems
12018,4.0,certificate iv,Screen and Media
12019,7.0,advanced diploma,Advanced Diploma of interpreting
12020,8.0,bachelor,Bachelor of Social Work
12021,7.0,advanced diploma,Advanced Diploma of Graphic Design
12022,4.0,certificate iv,Early childhood
12023,1.0,certificate i,Cert 1 Gen Ed Introductory
12024,4.0,certificate iv,"Cert IV Child, Family, youth intervention"
12025,3.0,certificate iii,Information technology
12026,4.0,certificate iv,Community service
12027,3.0,certificate iii,Certificate III in Meat Processing
12028,3.0,certificate iii,Beauty services
12029,3.0,certificate iii,Conservation land management
12030,6.0,diploma,Diploma of Early Childhood Education and care
12031,6.0,diploma,Diploma of Live Production and Technical Services
12032,3.0,certificate iii,Electro-techonology
12033,5.0,vce or vcal,Vcal senior
12034,2.0,certificate ii,cert 2 rail infrastucture
12035,3.0,certificate iii,Hairdressing
12036,6.0,diploma,Diploma of Quality Auditing - Completed  About to start diploma of business
12037,5.0,vce or vcal,Vcal
12038,7.0,advanced diploma,Associate degree of criminology
12039,6.0,diploma,Community Services
12040,10.0,,ADVANCED MAKEUP EFFECTS
12041,4.0,certificate iv,finishing last 2 units of TAE
12042,8.0,bachelor,Bachelor of Science
12043,7.0,advanced diploma,Advice diploma of graphic design
12044,3.0,certificate iii,Community services
12045,4.0,certificate iv,EAL 4
12046,8.0,bachelor,Associate degree interior decoration and design
12047,8.0,bachelor,Degree in Health Science Exercise and nutrition.  Awaiting results for Degree in Nursing application.
12048,4.0,certificate iv,Plumbing licences
12049,4.0,certificate iv,Certificate IV Allied Health
12050,9.0,higher than a degree,Master Degree of Hotel Management and Tourism
12051,3.0,certificate iii,Cert III security operations
12052,3.0,certificate iii,Business
12053,6.0,diploma,diploma of nursing
12054,5.0,vce or vcal,Vce
12055,4.0,certificate iv,Project management
12056,3.0,certificate iii,Electrical
12057,6.0,diploma,Diploma of Legal Services
12058,4.0,certificate iv,journey certificate  4
12059,6.0,diploma,Diploma of professional photography
12060,2.0,certificate ii,Is language school I just want to improve my learning skills
12061,6.0,diploma,Diploma of Visual Arts
12062,5.0,vce or vcal,High school of Luxor
12063,3.0,certificate iii,Cert 3 in business
12064,6.0,diploma,Diploma of Accounting
12065,2.0,certificate ii,Certificate II in EAL ( SEE program)
12066,3.0,certificate iii,Certificate III in Bread Baking
12067,6.0,diploma,Diploma in Accounting
12068,8.0,bachelor,Bachelor of Arts/Bachelor of Law (Honours)
12069,8.0,bachelor,Bachelor of Illustration
12070,8.0,bachelor,Bachelor of International Studies
12071,4.0,certificate iv,"Cert IV in library, information and cultural services"
12072,8.0,bachelor,Bachelor of Primary Education
12073,8.0,bachelor,Bachelor of civil engineer
12074,8.0,bachelor,Bachelor of Engineering (Honours)/Bachelor of Business
12075,6.0,diploma,Diploma of Work Health and Safety
12076,4.0,certificate iv,Teacher Support  Diploma of Counselling
12077,8.0,bachelor,Bachelor of nursing
12078,6.0,diploma,Diploma of community services -
12079,3.0,certificate iii,Certificate III in business
12080,4.0,certificate iv,Very 4 in building and construction
12081,3.0,certificate iii,Rural Operations
12082,8.0,bachelor,LBLA
12083,9.0,higher than a degree,Bachelor of design
12084,3.0,certificate iii,Certificate III in Individual support and first aid in education and care setting
12085,9.0,higher than a degree,Bachelor of Surveying
12086,3.0,certificate iii,Carpentry
12087,8.0,bachelor,Bachelor of Law
12088,6.0,diploma,Diploma in Production Horticulture
12089,3.0,certificate iii,certificate 3 in EAL.
12090,3.0,certificate iii,Aged care and disability
12091,6.0,diploma,Diploma of Information Technology
12092,3.0,certificate iii,Cert III Carpenter/Framing apprentices at Holmesglen.
12093,9.0,higher than a degree,Bachelor of Nursing
12094,3.0,certificate iii,Construction waterproofing 3
12095,3.0,certificate iii,Certificate lll in Companion Animal Services
12096,3.0,certificate iii,hospitality cert 3
12097,8.0,bachelor,Bachelor of Design (Animation)
12098,2.0,certificate ii,Certificate II in Animal Studies.
12099,3.0,certificate iii,Certificate III in Auslan
12100,6.0,diploma,Diploma of accounting
12101,3.0,certificate iii,Cert III in electrotechnology
12102,6.0,diploma,diploma of paramedical science
12103,3.0,certificate iii,Child care
12104,8.0,bachelor,Bachelor of arts A2000
12105,3.0,certificate iii,cert III in security operations
12106,8.0,bachelor,Degree in Nursing
12107,4.0,certificate iv,Certificate 4 in government
12108,3.0,certificate iii,"Certificate III in digital media and technology, at AIE in the city."
12109,3.0,certificate iii,Certificate 3 carpentry
12110,3.0,certificate iii,Continuing certificate 3 in Roof Tiling with a different training organisation.
12111,9.0,higher than a degree,technical and educational methods
12112,3.0,certificate iii,Cert lll early childhood education and care
12113,4.0,certificate iv,Cert 4 in business
12114,3.0,certificate iii,Community Services
12115,4.0,certificate iv,management in the automotive industry
12116,6.0,diploma,Diploma of building and construction (building )
12117,4.0,certificate iv,Education Support
12118,6.0,diploma,Because of the introduction back to schooling by parkerbrent and also the encouragement to do more by my trainer Alex
12119,3.0,certificate iii,cert 3 electrotechnology electrician
12120,6.0,diploma,Diploma of early childhood care and education
12121,4.0,certificate iv,Further plumbing courses to enable becoming licensed
12122,6.0,diploma,Diploma of School age care
12123,2.0,certificate ii,Animal studies
12124,4.0,certificate iv,Agriculture
12125,4.0,certificate iv,Community service
12126,8.0,bachelor,Bachelor of Nursing
12127,4.0,certificate iv,certificate 4 in interior decoration
12128,10.0,,"Literacy & Numeracy Course at The Avenue, South Blackburn"
12129,3.0,certificate iii,Certificate 3 in Business
12130,6.0,diploma,Diploma of community services
12131,4.0,certificate iv,Certificate IV Engineering Fabrication as well as continuing my mature age apprenticeship at Melbourne Polytechnic
12132,6.0,diploma,Interactive Games Diploma
12133,8.0,bachelor,Bachelor of Human Nutrition
12134,4.0,certificate iv,Education support
12135,6.0,diploma,Animal technology
12136,3.0,certificate iii,Certificate 3 Commercial compost
12137,8.0,bachelor,Bachelor of engineering
12138,4.0,certificate iv,Leisure and lifestyle
12139,4.0,certificate iv,Instrumentation and control
12140,7.0,advanced diploma,Advanced diploma of interpreting
12141,6.0,diploma,Diploma of Youth Work
12142,4.0,certificate iv,Certificate 4 out of school hours care
12143,1.0,certificate i,Journalism
12144,1.0,certificate i,Aviation australia
12145,3.0,certificate iii,Plumbing
12146,6.0,diploma,Diploma of accounting
12147,8.0,bachelor,Bachelor in commerce
12148,10.0,,Builders registration
12149,6.0,diploma,Diploma of Early Childhood Education and Care
12150,8.0,bachelor,Bachelor of criminal justice and criminology
12151,7.0,advanced diploma,Advanced diploma of electronics and communications engineering at rmit
12152,9.0,higher than a degree,Graduate diploma in early childhood
12153,8.0,bachelor,Bachelor of Resort and Hotel Management
12154,8.0,bachelor,Bachelor of Arts
12155,3.0,certificate iii,Cert 3 in construction
12156,8.0,bachelor,Information Communications and technology
12157,3.0,certificate iii,Cert 3 plumbing? Not sure I ve just moved from First year plumbing to second
12158,6.0,diploma,Diploma of education preparation
12159,7.0,advanced diploma,same as these one
12160,4.0,certificate iv,Certificate 4
12161,4.0,certificate iv,OH&S
12162,9.0,higher than a degree,Master financial planning
12163,7.0,advanced diploma,Advanced Diploma of Myotherapy
12164,3.0,certificate iii,Cert 3 in dental assisting
12165,6.0,diploma,Diploma of Accounting
12166,3.0,certificate iii,Mechanical trade
12167,4.0,certificate iv,Certificate IV in training and assessment
12168,6.0,diploma,Diploma of health sciences
12169,4.0,certificate iv,Certificate IV in community services
12170,3.0,certificate iii,EAL-three
12171,8.0,bachelor,Bachelor of Design Swinburne University
12172,3.0,certificate iii,Early childhood education and care
12173,8.0,bachelor,Bachelor of Architecture then Master of Architecture
12174,4.0,certificate iv,Cert 4 in Cyber Security
12175,5.0,vce or vcal,VCE year 11
12176,6.0,diploma,Diploma of Community Services
12177,2.0,certificate ii,Med 3
12178,8.0,bachelor,TBD
12179,3.0,certificate iii,Commercial Cookery
12180,4.0,certificate iv,VET Certificate IV Sport Development
12181,6.0,diploma,diploma of IT and masters of computer science
12182,2.0,certificate ii,Certificate II Plumbing
12183,8.0,bachelor,Batchelor of design (architecture)
12184,6.0,diploma,Diploma of Interior Design
12185,4.0,certificate iv,Certificate 4 in education support
12186,10.0,,Do not wish to disclose. I have decided  to pursue a different career path and this involves on site training
12187,6.0,diploma,Community services
12188,8.0,bachelor,Certificate 3 in security industry
12189,4.0,certificate iv,Certificate 4 Accounting and Bookkeeping
12190,8.0,bachelor,Hotel and resort management
12191,4.0,certificate iv,Certificate 4
12192,3.0,certificate iii,Certificate 3 in plan operations
12193,7.0,advanced diploma,Leadership and management
12194,4.0,certificate iv,FNS40217 Cert IV in Accounting & Bookkeeping
12195,4.0,certificate iv,Certificate IV in Health Administration
12196,8.0,bachelor,Bachelor of nursing
12197,6.0,diploma,Dunno
12198,8.0,bachelor,Associate Degree of Furniture Design
12199,8.0,bachelor,Bachelor of Business
12200,2.0,certificate ii,Certificate 2 security operation
12201,8.0,bachelor,Bachelor of Education Primary School
12202,3.0,certificate iii,Early childhood education and care
12203,2.0,certificate ii,Certificate 2 in Spoken and written English
12204,4.0,certificate iv,Certificate 4 in aging and disability
12205,4.0,certificate iv,Accounting
12206,3.0,certificate iii,Certificate 3 in hairdressing
12207,8.0,bachelor,Bachelor of Law and Bachelor of Commerce
12208,2.0,certificate ii,Reading and writing
12209,8.0,bachelor,University
12210,2.0,certificate ii,Air conditioning and heat pumps
12211,8.0,bachelor,Degree of nursing
12212,6.0,diploma,Nursing
12213,3.0,certificate iii,CERTIFICATE III IN ENGINEERING (MECHANICAL)
12214,4.0,certificate iv,Certificate IV in AOD
12215,7.0,advanced diploma,Advanced diploma of agribusiness management
12216,4.0,certificate iv,accounting
12217,7.0,advanced diploma,Adv diploma of legal Practice
12218,3.0,certificate iii,Health and Community Services
12219,8.0,bachelor,Bachelor exercise science
12220,3.0,certificate iii,COMMERCIAL COOKERY
12221,3.0,certificate iii,education support cert.3
12222,7.0,advanced diploma,PERFORMANCE
12223,4.0,certificate iv,Certificate IV in graphic art and design
12224,2.0,certificate ii,"22338VIC Certificate II in Building and Construction Pre-apprenticeship ""Carpentry"""
12225,10.0,,Tertiary Enabling Program( Pathway to Tertiary Studies)
12226,6.0,diploma,Visual arts
12227,4.0,certificate iv,Leadership and management
12228,8.0,bachelor,Bachelor of Computer Science
12229,2.0,certificate ii,Cert 2 rail infrastructure
12230,3.0,certificate iii,Captive Animals
12231,8.0,bachelor,I jad already begun a batchelor of Community mental health and AOD
12232,6.0,diploma,diploma of building and construction
12233,6.0,diploma,Community and service
12234,6.0,diploma,Diploma of Digital Media Technologies
12235,8.0,bachelor,Bachelor of Music
12236,6.0,diploma,Diploma of Youth Work
12237,7.0,advanced diploma,CHC62015 Advance Diploma of Community Sector Management.
12238,6.0,diploma,Diploma in WHS
12239,6.0,diploma,Marketing and Communications
12240,8.0,bachelor,Fashion and textiles merchandise
12241,4.0,certificate iv,Certificate 4 in beauty
12242,6.0,diploma,"I am still completing Diploma Visual Arts, only one day a week, 2 subjects in drawing."
12243,6.0,diploma,Diploma of accounting
12244,3.0,certificate iii,I would do interior design again but with another school.
12245,3.0,certificate iii,Animal Studies
12246,6.0,diploma,Sport in management & leadership
12247,6.0,diploma,Diploma of legal studies
12248,4.0,certificate iv,Cer 4 Further study
12249,4.0,certificate iv,cert 4 plumbing services
12250,7.0,advanced diploma,Advanced Diploma of Leadership and Management
12251,8.0,bachelor,Bachelor of Information Technology
12252,4.0,certificate iv,TAE40116
12253,8.0,bachelor,Bachelor of Health & Physical Education (Secondary)
12254,3.0,certificate iii,certificate 3 engineering fabrication
